"MEDIA","SKU CODE","COLOR","STORAGE","RAM","CONDITION","BATTERY","WEIGHT","MRP (₹)","BUY (₹)","SELL (₹)","STOCK","STATUS","ACTION"
"perm_media
Media","mba-m2-15-mid-256gb-8gb-vlm-2","Midnight","256GB","8GB","Very Light","75%-84%","1.51 kg","134900","72000","89999","15","Active","delete"
"perm_media
Media","mba-m2-15-mid-256gb-8gb-lm-3","Midnight","256GB","8GB","Light","85%-100%","1.51 kg","134900","72000","89999","14","Active","delete"
"perm_media
Media","mba-m2-15-mid-256gb-8gb-lm-4","Midnight","256GB","8GB","Light","75%-84%","1.51 kg","134900","72000","89999","13","Active","delete"
"perm_media
Media","mba-m2-15-mid-256gb-16gb-vlm-5","Midnight","256GB","16GB","Very Light","85%-100%","1.51 kg","134900","72000","89999","12","Active","delete"
"perm_media
Media","mba-m2-15-mid-256gb-16gb-vlm-6","Midnight","256GB","16GB","Very Light","75%-84%","1.51 kg","134900","72000","89999","11","Active","delete"
"perm_media
Media","mba-m2-15-mid-256gb-16gb-lm-7","Midnight","256GB","16GB","Light","85%-100%","1.51 kg","134900","72000","89999","10","Active","delete"
"perm_media
Media","mba-m2-15-mid-256gb-16gb-lm-8","Midnight","256GB","16GB","Light","75%-84%","1.51 kg","134900","72000","89999","9","Active","delete"
"perm_media
Media","mba-m2-15-mid-512gb-8gb-vlm-9","Midnight","512GB","8GB","Very Light","85%-100%","1.51 kg","154900","84000","99999","8","Active","delete"
"perm_media
Media","mba-m2-15-mid-512gb-8gb-vlm-10","Midnight","512GB","8GB","Very Light","75%-84%","1.51 kg","154900","84000","99999","7","Active","delete"
"perm_media
Media","mba-m2-15-mid-512gb-8gb-lm-11","Midnight","512GB","8GB","Light","85%-100%","1.51 kg","154900","84000","99999","6","Active","delete"
"perm_media
Media","mba-m2-15-mid-512gb-8gb-lm-12","Midnight","512GB","8GB","Light","75%-84%","1.51 kg","154900","84000","99999","5","Active","delete"
"perm_media
Media","mba-m2-15-mid-512gb-16gb-vlm-13","Midnight","512GB","16GB","Very Light","85%-100%","1.51 kg","154900","84000","99999","4","Active","delete"
"perm_media
Media","mba-m2-15-mid-512gb-16gb-vlm-14","Midnight","512GB","16GB","Very Light","75%-84%","1.51 kg","154900","84000","99999","3","Active","delete"
"perm_media
Media","mba-m2-15-mid-512gb-16gb-lm-15","Midnight","512GB","16GB","Light","85%-100%","1.51 kg","154900","84000","99999","2","Active","delete"
"perm_media
Media","mba-m2-15-mid-512gb-16gb-lm-16","Midnight","512GB","16GB","Light","75%-84%","1.51 kg","154900","84000","99999","1","Active","delete"
"perm_media
Media","mba-m2-15-mid-1tb-8gb-vlm-17","Midnight","1TB","8GB","Very Light","85%-100%","1.51 kg","194900","108000","124999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-mid-1tb-8gb-vlm-18","Midnight","1TB","8GB","Very Light","75%-84%","1.51 kg","194900","108000","124999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-mid-1tb-8gb-lm-19","Midnight","1TB","8GB","Light","85%-100%","1.51 kg","194900","108000","124999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-mid-1tb-8gb-lm-20","Midnight","1TB","8GB","Light","75%-84%","1.51 kg","194900","108000","124999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-mid-1tb-16gb-vlm-21","Midnight","1TB","16GB","Very Light","85%-100%","1.51 kg","194900","108000","124999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-mid-1tb-16gb-vlm-22","Midnight","1TB","16GB","Very Light","75%-84%","1.51 kg","194900","108000","124999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-mid-1tb-16gb-lm-23","Midnight","1TB","16GB","Light","85%-100%","1.51 kg","194900","108000","124999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-mid-1tb-16gb-lm-24","Midnight","1TB","16GB","Light","75%-84%","1.51 kg","194900","108000","124999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-mid-2tb-8gb-vlm-25","Midnight","2TB","8GB","Very Light","85%-100%","1.51 kg","234900","130000","149999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-mid-2tb-8gb-vlm-26","Midnight","2TB","8GB","Very Light","75%-84%","1.51 kg","234900","130000","149999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-mid-2tb-8gb-lm-27","Midnight","2TB","8GB","Light","85%-100%","1.51 kg","234900","130000","149999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-mid-2tb-8gb-lm-28","Midnight","2TB","8GB","Light","75%-84%","1.51 kg","234900","130000","149999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-mid-2tb-16gb-vlm-29","Midnight","2TB","16GB","Very Light","85%-100%","1.51 kg","234900","130000","149999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-mid-2tb-16gb-vlm-30","Midnight","2TB","16GB","Very Light","75%-84%","1.51 kg","234900","130000","149999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-mid-2tb-16gb-lm-31","Midnight","2TB","16GB","Light","85%-100%","1.51 kg","234900","130000","149999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-mid-2tb-16gb-lm-32","Midnight","2TB","16GB","Light","75%-84%","1.51 kg","234900","130000","149999","0","Deactive","delete"
